"English (US)","Italy"
"Department, c/o, etc.","Reparto, c/o ecc."
"Mr","Sig."
"Miss","Sig.na"
"Mrs","Sig.ra"
"Ms","Sig.na"
"I have a UPS Account Number WITH an invoice occurred in the last 45 days (90 days if your account is in the US or Canada)","Dispongo di un Codice Cliente UPS CON una fattura emessa negli ultimi 45 giorni (90 giorni se il conto si trova negli Stati Uniti o in Canada)"
"I have a UPS Account Number WITHOUT an invoice occurred in the last 45 days (90 days if your account is in the US or Canada)","Dispongo di un Codice Cliente UPS SENZA una fattura emessa negli ultimi 45 giorni (90 giorni se il conto si trova negli Stati Uniti o in Canada)"
"I do not have a UPS Account Number and would like to get one from the plug-in","Non dispongo di un Codice Cliente UPS e desidero ottenerne uno dal plug-in"
"I do not have a UPS Account Number and would ","Non dispongo di un Codice Cliente UPS e "
"like","desidero"
" to get one from the plug-in"," ottenerne uno dal plug-in"
"The invoice should be 1 of the last 3 issued by UPS in last 45 days (90 days if your account is in the US or Canada)","La fattura deve essere 1 delle ultime 3 emesse da UPS negli ultimi 45 giorni (90 giorni se il conto è negli Stati Uniti o in Canada)"
"Account name","Nome del codice cliente"
"Account number","Numero del codice cliente"
"Invoice number","Numero fattura"
"Invoice amount","Ammontare della fattura"
"Currency","Valuta"
"Invoice date","Data fattura"
"VAT number","Partita IVA"
"Promo Code","Codice promozionale"
"Please Note: Shippers are prohibited from shipping dangerous goods or hazardous materials using the account opened in this application.","Nota: i mittenti non possono spedire merci pericolose o materiali pericolosi utilizzando il codice cliente creato nella presente applicazione."
"Your account will support deliveries to authorized UPS Access Point™ locations after 24 hours.","Il tuo codice supporterà le consegne presso le sedi UPS Access Point™ dopo 24 ore."
"You can find more information on dangerous goods and how UPS can support you shipping them on this link <br /><a target='_blank' href=https://www.ups.com/%1/%2/help-center/packaging-and-supplies/special-care-shipments/global-dangerous-goods.page>[https://www.ups.com/%1/%2/help-center/packaging-and-supplies/special-care-shipments/global-dangerous-goods.page]</a>","Al seguente indirizzo puoi trovare maggiori informazioni sulle merci pericolose e su come UPS può aiutarti a spedirle<br /><a target='_blank' href=https://www.ups.com/%1/%2/help-center/packaging-and-supplies/special-care-shipments/global-dangerous-goods.page>[https://www.ups.com/%1/%2/help-center/packaging-and-supplies/special-care-shipments/global-dangerous-goods.page]</a>"
"Reference name that will be associate with an account. For example warehouse 1, warehouse 2,  Store 1, Store 2 etc. You can freely chose the name as per your requirement","Nome di riferimento che verrà associato a un codice. Ad esempio magazzino 1, magazzino 2, negozio 1, negozio 2 ecc. Puoi scegliere liberamente il nome secondo necessità."
"The postal code or zip code associated with your UPS account. It can be found on the top on each page of your UPS invoice under 'Purchaser'","Il codice postale o CAP associato al tuo codice UPS. Può essere trovato in cima a ciascuna pagina della fattura UPS alla voce ’Acquirente’"
"The name associated with your UPS account. It can be found on the top on each page of your UPS invoice under 'Purchaser'","Il nome associato al tuo codice cliente UPS. Può essere trovato in cima a ciascuna pagina della fattura UPS alla voce ’Acquirente’"
"A unique six character alphanumeric number that identifies your account. It can be found on the top left side on each page of your UPS invoice","Un codice alfanumerico da sei caratteri che identifica il tuo conto. Può essere trovato in alto a sinistra su ciascuna pagina della fattura UPS"
"A unique 12 digit number assigned by UPS to an invoice. It can be found on the top left side on each page of your UPS invoice","Un codice di 12 cifre unico assegnato da UPS a una fattura. Può essere trovato in alto a sinistra su ciascuna pagina della fattura UPS"
"Total Amount Due for the given invoice. It can be found on the 'Summary of Charges' table on the first page on the invoice","Importo totale dovuto per la fattura in oggetto. Può essere trovato nella tabella ’Riepilogo degli addebiti’ sulla prima pagina della fattura"
"Date of issuing the invoice. It can be found on the top left side on each page of your UPS invoice","Data di emissione della fattura. Può essere trovato in alto a sinistra su ciascuna pagina della fattura UPS"
"Get started","Per cominciare"
"Some of the data you entered is not valid. Please check again.","Alcuni dei dati inseriti non sono validi. Ricontrollali."
"Cannot create new Account Number","Impossibile creare un nuovo numero di codice cliente"
"Email is not correct format","L’e-mail non è nel formato corretto"
"Your request to create a UPS Shipping Account was not successful. Please check the 'City' and 'Postal code' values that you entered. Here are some suggestions on the City and Postal code that are a valid combination - ","La richiesta di creazione di un Codice Cliente per Spedizioni UPS non è andata a buon fine. Controlla i valori ‘Città’ e ‘Codice postale’ inseriti. Ecco alcuni suggerimenti relativi a Città e codice postale che costituiscono combinazioni valide: "
"Please update the city and postal code values with one of these selections and click Get Started","Aggiorna i valori del codice postale e della città con una di queste selezioni e fai clic su “Per cominciare”"
"Configuration","Configurazione"
"//======================= Account Success Page","Pagina di successo del codice"
"Your UPS Profile","Il tuo profilo UPS"
"Your Payment Account","Il tuo codice di pagamento"
"Add another account number","Aggiungi un altro numero di codice"
"Please enter the address attached to your account number","Inserisci l’indirizzo legato al tuo numero di codice"
"Phone","Telefono"
"Verify","Verifica"
"Next","Avanti"
"Remove","Rimuovi"
"Account number already exists in 'Your Payment Account'","Il numero di codice esiste già in ‘Il tuo conto di pagamento’"
"Full name:","Nome completo:"
"Remove Account","Rimuovi codice"
"This account will be removed. Click Ok to confirm, close the dialog to cancel.","Il codice verrà rimosso. Fai clic su Ok per confermare, chiudi la finestra per annullare."
"Your UPS account has been successfull registered","Il tuo codice cliente UPS è stato registrato con successo"
"//======================= Shipping Services page","Pagina dei Servizi di spedizione"
"Shipping Services","Servizi di spedizione"
"Select the UPS services you want to be visible in the checkout for your e-shoppers. To learn more about UPS services, refer UPS Tariff/Terms and Conditions of Service on UPS.COM","Seleziona i servizi UPS da rendere visibili al checkout per gli acquirenti online. Per saperne di più sui servizi UPS, fai riferimento a Tariffe/Termini e condizioni del servizio UPS su UPS.COM"
"Deliver to UPS Access Point™ (to-AP delivery)","Consegna a UPS Access Point™ (consegna ad AP)"
"UPS delivers the parcel to a UPS Access Point™ that the customer selected, then customer picks up their order there","UPS consegna il pacchetto a un UPS Access Point™ che il cliente ha designato, quindi il cliente ritira l’ordine in quella località"
"Yes","Sì"
"No","No"
"Set as default shipping option","Imposta come opzione di spedizione predefinita"
"Select the shipping services for your customers to choose","Seleziona i servizi di spedizione da far scegliere ai tuoi clienti"
"International shipping only - visible, when shipping address is outside of EU","Solo spedizioni internazionali: visibile, quando l’indirizzo di spedizione si trova al di fuori dell’UE"
"Access Point display setting:","Impostazione di visualizzazione dell’Access Point:"
"Number of Access Points visible to customers:","Numero di Access Point visibili ai clienti:"
"Display all the Access Points in range of:","Visualizza tutti gli Access Point nel raggio di:"
"kilometer around consignee's selected address","chilometri intorno all’indirizzo selezionato dal destinatario"
"Choose Account Number for this option","Scegli il numero di codice per quest’opzione"
"Deliver to consignee address (to-address delivery)","Consegna all’indirizzo del destinatario (consegna all’indirizzo)"
"UPS delivers the parcel to the shipping address provided by customer.","UPS consegna il pacchetto all’indirizzo di spedizione fornito dal cliente."
"Cut off time","Ora di cut off"
"The cut off time selected here will be used in calculating the schedule delivery date and time, which will be displayed on your website checkout.","L’ora di cut off qui selezionata verrà utilizzata per il calcolo della programmazione della data di consegna, che verrà visualizzata al checkout del tuo sito Web."
"For example, if the cut off time is selected as 5 PM and your e-shoppers views your webstore at 5.01 PM, all UPS scheduled delivery dates and time will be calculated from the following business day. When deciding this cut off time, please ensure that you have sufficient time to fulfill the order before the UPS scheduled pick up or you are able to drop off the packages at a UPS Access Point™.","Ad esempio, se l’ora di cut off selezionata è le 17:00, e gli acquirenti online visualizzano il webstore alle 17:01, tutte le date di consegna programmata verranno calcolate a partire dal giorno lavorativo seguente. Quando decidi l’ora di cut off, accertati di disporre di tempo sufficiente per evadere l’ordine prima del ritiro programmato di UPS o prima del deposito del pacchetto presso l’UPS Access Point™."
"If you are unsure about fulfilling customer orders on the same day, you can select 'Disable' which will result in the e-shopper seeing a generic delivery schedule for each available UPS service. For Example; 'UPS® Standard - In most cases, delivered within 1 to 3 business days in Europe.'","Se non sei sicuro in merito all’evasione degli ordini dei clienti lo stesso giorno, puoi selezionare 'Disabilita', che farà sì che l’acquirente online riceva una programmazione di consegna generica per ciascun servizio UPS disponibile. Ad esempio; 'UPS® Standard - nella maggior parte dei casi, consegna entro 1 - 3 giorni lavorativi in Europa.'"
"Save","Salva"
"Please select at least one shipping service.","Seleziona almeno un servizio di spedizione."
"UPS Access Point™ Economy","UPS Access Point™ Economy"
"UPS® Standard","UPS® Standard"
"UPS Expedited®","UPS Expedited®"
"UPS Express Saver®","UPS Express Saver®"
"UPS Express®","UPS Express®"
"UPS Express Plus®","UPS Express Plus®"
"//======================= Collect on Delivery (COD) page","Pagina Contrassegno (Collect on Delivery, COD)"
"Collect on Delivery (COD)","Contrassegno (COD)"
"You have the official Magento COD module enabled!","Hai abilitato il modulo ufficiale COD Magento!"
"Only show Access Points supporting COD shipments?","Mostrare solo gli Access Point che supportano le spedizioni COD?"
"Select 'YES' if you plan to offer COD shipments to a UPS Access Point™","Seleziona 'SÌ' se desideri offrire spedizioni COD presso gli Access Point™"
"The COD Shipping service of this plug-in is automatically compatible with the official Collect on Delivery (COD) module by Magento.","Il servizio di spedizione COD di questo plug-in è automaticamente compatibile con il modulo ufficiale Contrassegno (Collect on Delivery, COD) di Magento."
"You do not have the official Magento COD module installed and/or enabled!","Non disponi del modulo ufficiale COD Magento installato e/o abilitato!"
"The COD Shipping service of this plugin is automatically compatible with the official Cash on Delivery (COD) module by Magento.","Il servizio di spedizione COD di questo plug-in è automaticamente compatibile con il modulo Pagamento alla consegna (Cash on Delivery, COD) di Magento."
"If you want the UPS Shipping module to automatically detect COD shipments, <strong>please make sure that you have installed Magento's Collect on Delivery (COD)</strong>. If you already have Magento's Collect on Delivery (COD) module installed, <strong>please make sure that the module is enabled</strong>. [<a href='https://docs.magento.com/m2/ce/user_guide/payment/cash-on-delivery.html' target='_blank'>Click here</a>] for detailed guidance.","Se desideri che il modulo di spedizione UPS rilevi automaticamente le spedizioni COD, accertati di aver installato il modulo Pagamento alla consegna (Cash on Delivery, COD) di Magento. Se è già stato installato il modulo Pagamento alla consegna (Cash on Delivery, COD) di Magento, accertati che il modulo sia abilitato. [<a href='https://docs.magento.com/m2/ce/user_guide/payment/cash-on-delivery.html' target='_blank'>Fai clic qui</a>] per istruzioni dettagliate."
"COD Option","Opzione COD"
"//======================= Package Dimensions page","Pagina Dimensioni dei pacchi"
"Package Dimensions","Dimensioni dei pacchi"
"Default Package Setting","Impostazione predefinita del pacco"
"Default package setting","Impostazione predefinita del pacco"
"Please enter weight and dimensions of your packaging here. You can add multiple package dimensions, which can be easily selected in a dropdown option when creating shipments in the plug-in.","Inserisci qui il peso e le dimensioni del pacco. Puoi aggiungere più dimensioni del pacco, che è possibile selezionare con facilità da un menu a discesa, quando crei spedizioni all’interno del plug-in."
"In case you decide to show the real time UPS shipping rate (to be configured in the next screen) to the e-shoppers, the plug-in will use the first package, referred to as the 'Default Package' that is displayed below. The Default Package's weight and dimensions will be used to calculate the UPS shipping rates that will be displayed to the e-shoppers.","Nel caso tu decida di mostrare la tariffa di spedizione UPS in tempo reale (da configurarsi nella schermata seguente) agli acquirenti online, il plug-in utilizzerà il primo pacco, denominato “Pacco predefinito”, mostrato di seguito. Il peso e le dimensioni del pacco predefinito saranno utilizzati per calcolare le tariffe di spedizione di UPS che verranno mostrate agli acquirenti online."
"Add New Package","Aggiungi nuovo pacco"
"Package name","Nome del pacco"
"Example: Standard, Large, Phone box, etc.","Esempio: standard, grande, confezione per telefono, ecc."
"Weight","Peso"
"Unit","Unità"
"Dimension","Dimensioni"
"Add Package","Aggiungi pacco"
"Length","Lunghezza"
"Width","Larghezza"
"Height","Altezza"
"The name Package is exist.","Il nome Pacco esiste già."
"Edit","Modifica"
"Delete","Elimina"
"Editing Default Package","Modifica del pacco predefinito"
"Remove Package","Rimuovi pacco"
"You are going to remove this default package from your profile. Click Ok to confirm, close the dialog to cancel.","Rimuoverai il pacco predefinito dal tuo profilo. Fai clic su Ok per confermare, chiudi la finestra per annullare.""OK","OK"
"Please input at least one default package to continue.","Inserisci almeno un pacco predefinito per continuare."
"Please select an option","Seleziona un'opzione"
"Basic (number of items in the e-shopper order determine the package size)","Base (il numero di articoli nell'ordine e-shopper determina la dimensione del pacco)"
"Advanced (weights and dimensions of products in the e-shopper order determine the package size)","Avanzata (pesi e dimensioni dei prodotti nell'ordine e-shopper determinano le dimensioni del pacco)"
"Package dimensions:","Dimensioni del pacco:"
"Note: the plugin will create a custom package size if an e-shopper order is larger than the packages you enter","Nota: il plug-in creerà una dimensione del pacco personalizzata se un ordine e-shopper è più grande dei pacchi immessi"
"Warning! To use this option you must enter product weights in the product settings of your shop.","Avvertenza! Per utilizzare questa opzione è necessario inserire i pesi del prodotto nelle impostazioni del prodotto."
"Include dimensions in rating","Includi le dimensioni nella tariffazione"
"Yes","Sì"
"No","No"
"If set to “No”, rates will be based on product weights only.&nbsp; If set to “Yes”, product dimensions must be entered in the product settings of your shop","Se impostate su 'No', le tariffe saranno basate solo sui pesi del prodotto.  Se impostate su 'Sì', le dimensioni del prodotto devono essere inserite nelle impostazioni del prodotto"
"Name","Name"
"Length","Lunghezza"
"Width","Larghezza"
"Height","Altezza"
"Weight","Peso"
"Max Weight","Peso Massimo"
"Backup rate:","Tariffa di riserva"
"Service Name","Nome del servizio"
"Rate","Tariffa"
"Backup rate will only display to e-shoppers if there is an issue within product settings, such as weights missing or if weights/dimensions exceed UPS limits","Le tariffe di riserva verranno visualizzate dagli acquirenti solo se c'è un problema nelle impostazioni del prodotto, come la mancanza di pesi o se pesi o dimensioni superano i limiti UPS"
"Add default packages if you would like the package size used for rating to change based on the number of items in the e-shopper’s order","Aggiungi dei pacchi predefiniti se preferisci che le dimensioni del pacco utilizzate per la tariffazione cambino in base al numero di articoli contenuti nell'ordine dell'acquirente."
"Note: if the number of items in the e-shopper order do not match any of your entries, then the size of the package used for rating will be based on that of the highest item count exceeded by the e-shopper order.","Nota: se il numero di articoli nell'ordine dell'acquirentenon corrisponde a nessuna delle tue voci, la dimensione del pacco utilizzata per la tariffazione sarà basata su quella del conteggio degli articoli più alto superato dall'ordine dell'acquirente online."
"//======================= Checkout Shipping Rates page","Pagina Tariffe di spedizione al checkout"
"Checkout Shipping Rates","Tariffe di spedizione al checkout"
"Ship to UPS Access Point&trade;","Spedisci a UPS Access Point™"
"Flat rates","Tariffe fisse"
"Real time shipping rates","Tariffe di spedizione in tempo reale"
"Delivery rates is","Le tariffe di consegna sono il"
"% of UPS shipping rates","% delle tariffe di spedizione di UPS"
"The e-shopper will see the % of real time UPS rates. These rates are calculated using the default package weight and dimensions that you configured in the previous screen (Package Dimensions).","L’acquirente online visualizzerà la % delle tariffe UPS in tempo reale. Queste tariffe vengono calcolate utilizzando le dimensioni e il peso del pacco predefinito configurato nella schermata precedente (Dimensioni del pacco)."
"Please Note:<br />1. UPS real time shipping rates are exclusive of VAT. If you want to display the rates including VAT, please add the VAT % to the shipping rate. E.g. If VAT is 23%, and you want to display rates including VAT, you should insert 123% above.<br />2. The e-shopper may select COD as a payment option within the Magento checkout after the shipping rates are calculated. In this scenario, UPS COD surcharges which will be billed, are not added to the displayed shipping rates automatically. This is due to the order in which Magento displays shipping and payment options.","Nota:<br />1. Le tariffe di spedizione in tempo reale UPS sono IVA esclusa. Se desideri mostrare le tariffe inclusive di IVA, aggiungi la % di IVA alla tariffa di spedizione. Ad es., se l’IVA è del 23%, e desideri mostrare le tariffe inclusive di IVA, sopra dovrai inserire 123%.<br />2. L’acquirente online può selezionare COD come opzione di pagamento al checkout Magento dopo aver calcolato le tariffe di spedizione. In questo caso, il supplemento UPS COD addebitato non viene aggiunto in maniera automatica alle tariffe di spedizione visualizzate. Questo per via dell’ordine con cui Magento visualizza le opzioni di spedizione e pagamento."
"Ship to Address","Indirizzo di destinazione"
"Order Value Threshold","Soglia di valore dell’ordine"
"Delivery rates","Tariffe di consegna"
"The minimum thresholds can not be the same.","Le soglie minime non possono essere le stesse."
"//======================= Complete Configuration page","Pagina Completa configurazione"
"Complete Configuration","Completa configurazione"
"You can start shipping now!","Puoi iniziare la spedizione adesso!"
"Click on the 'Complete Configuration' button to finish the configuration of the plug-in and start offering UPS shipping services on your website.","Fai clic sul pulsante “Completa configurazione” per terminare la configurazione del plug-in e iniziare a offrire i servizi di spedizione UPS sul tuo sito Web."
"If you are new to UPS, please refer to the following FAQs for additional information:","Se sei nuovo di UPS, fai riferimento alle seguenti FAQ per informazioni aggiuntive:"
"1) How do I get more information about my new UPS shipping account?<br />If you opened a new UPS shipping account from the plug-in, a confirmation email with more information will be sent to the email address that you entered while creating the new account.","1. Come ottengo maggiori informazioni sul mio nuovo codice cliente per spedizioni UPS?<br />Se hai creato un nuovo codice cliente per le spedizioni UPS dal plug-in, verrà inviata una e-mail di conferma riportante maggiori informazioni all’indirizzo che hai inserito durante la creazione del nuovo codice cliente."
"2) How do I prepare my packages for UPS collection or drop off to a UPS Access Point™?<br />Refer to the package preparation recommendations at this link - <a href='https://www.ups.com/%1/%2/services/individual-shipper/preparing-to-ship.page' target='_blank'>https://www.ups.com/%1/%2/services/individual-shipper/preparing-to-ship.page</a>","2. Come preparo i miei pacchi per il ritiro da parte di UPS o il deposito presso un UPS Access Point™?<br />Fai riferimento ai consigli per la preparazione dei pacchi al seguente indirizzo: <a href='https://www.ups.com/%1/%2/services/individual-shipper/preparing-to-ship.page' target='_blank'>https://www.ups.com/%1/%2/services/individual-shipper/preparing-to-ship.page</a>"
"3) How do I give my packages to UPS?<br />You can drop you packages at any authorized UPS location such as a UPS Access Point™. Click below to search for a convenient access point location near you.","3. Come fornisco i miei pacchi a UPS?<br />Puoi lasciare i pacchi presso una qualsiasi località autorizzata UPS, come un UPS Access Point™. Fai clic qui sotto per cercare una località di accesso comoda e vicina a te."
"You can also ask UPS to pickup packages from your warehouse or business address. If you need an occasional pickup, you can directly schedule a pickup from UPS.COM using this link - <a href='https://wwwapps.ups.com/pickup/schedule?loc=%1' target='_blank'>https://wwwapps.ups.com/pickup/schedule?loc=%1</a>","Puoi anche chiedere a UPS di ritirare i pacchi dal tuo magazzino o indirizzo commerciale. Se di tanto in tanto hai bisogno di un ritiro, puoi predisporre direttamente un ritiro su UPS.COM utilizzando il seguente collegamento:  <a href='https://wwwapps.ups.com/pickup/schedule?loc=%1' target='_blank'>https://wwwapps.ups.com/pickup/schedule?loc=%1</a>"
"If you have UPS packages on most business days and would prefer a regular UPS pickup, you can email a completed and signed Pickup form to the following email address - konto@ups.com. Then a UPS representative will be in touch with you to discuss a daily UPS pickup.","Se hai pacchi UPS la maggior parte dei giorni lavorativi e preferisci un ritiro fisso, puoi contattare UPS telefonando al numero indicato nella sezione Domande sulla fatturazione  <a href='https://www.ups.com/%1/%2/help-center/contact.page' target='_blank'>qui</a>. Un rappresentante UPS ti contatterà poi per discutere del ritiro giornaliero con UPS."
"If you have UPS packages on most business days and would prefer a regular UPS pickup, you can contact UPS by calling at the phone number provided under Billing Questions <a href='https://www.ups.com/%1/%2/help-center/contact.page' target='_blank'>here</a>. Then a UPS representative will be in touch with you to discuss a daily UPS pickup.","Se hai pacchi UPS la maggior parte dei giorni lavorativi e preferisci un ritiro fisso, puoi contattare UPS telefonando al numero indicato nella sezione Domande sulla fatturazione  <a href='https://www.ups.com/%1/%2/help-center/contact.page' target='_blank'>qui</a>. Un rappresentante UPS ti contatterà poi per discutere del ritiro giornaliero con UPS."
"4. What steps do I need to take to set up a UPS Collect on Delivery (COD) service?<br />You can contact UPS by calling at the phone number provided under Billing Questions <a href='https://www.ups.com/%1/%2/help-center/contact.page' target='_blank'>here</a>. Then a UPS representative will be in touch with you to discuss the COD service.","4. Che passi devo seguire per configurare il servizio UPS Contrassegno (COD, Collect on Delivery)?<br />Puoi contattare UPS telefonando al numero indicato nella sezione Domande sulla fatturazione <a href='https://www.ups.com/%1/%2/help-center/contact.page' target='_blank'>qui</a>. Un rappresentante UPS ti contatterà poi per discutere del servizio di contrassegno."
"4) What steps do I need to take to set up a UPS Collect on Delivery (COD) service?<br />You can email a completed and signed COD form to the following email address - konto@ups.com. Then a UPS representative will be in touch with you to discuss the COD service.","4. Che passi devo seguire per configurare il servizio UPS Contrassegno (COD, Collect on Delivery)?<br />Puoi contattare UPS telefonando al numero indicato nella sezione Domande sulla fatturazione <a href='https://www.ups.com/%1/%2/help-center/contact.page' target='_blank'>qui</a>. Un rappresentante UPS ti contatterà poi per discutere del servizio di contrassegno."
"Search UPS Access Point™","Cerca Access Point™"
"Print form","Stampa modulo"
"//======================= E-shopper page","Pagina acquirente online"
"Deliver to an UPS Access Point<sup>TM</sup>","Consegna a un Access Point™"
"Your package will be delivered to an UPS Access Point<sup>TM</sup>","Il pacco verrà consegnato a un UPS Access Point™"
"Open 24 hours","Aperto 24 ore su 24"
"The address is required","L’indirizzo è obbligatorio"
"Please select an Access Point to process","Seleziona un Access Point per l’elaborazione"
"Operating Hours","Ore di apertura"
"Open","Aperto"
"Close","Chiuso"
"Monday","Lunedì"
"Closed","Chiuso"
"Tuesday","Martedì"
"Wednesday","Mercoledì"
"Thursday","Giovedì"
"Friday","Venerdì"
"Saturday","Sabato"
"Sunday","Domenica"
"Search for the UPS Access Point<sup>TM</sup>","Cerca l’Access Point™"
"Near","Vicino"
"Delivered by End of Business Day","Consegnato entro fine giornata lavorativa"
"Address line, City, State, Postcode","Riga dell’indirizzo, città, stato, codice postale"
"Address line,City,State,Postcode","Riga dell’indirizzo,città,stato,codice postale"
"Use my delivery address","Utilizza il mio indirizzo di consegna"
"Search","Ricerca"
"Results","Risultati"
"Select","Seleziona"
"Deliver to Your Address","Consegna al tuo indirizzo"
"Your package will be delivered to your address","Il pacco verrà consegnato al tuo indirizzo"
"UPS SHIPPING","SPEDIZIONE UPS"
"Delivery today!","Consegna oggi!"
"Delivery next day!","Consegna il giorno successivo!"
"Next two days!","Nei prossimi due giorni!"
"Next three days!","Nei prossimi tre giorni!"
"Next four days!","Nei prossimi quattro giorni!"
"Next five days!","Nei prossimi cinque giorni!"
"Next six days!","Nei prossimi sei giorni!"
"Next seven days!","Nei prossimi sette giorni!"
"Next eight days!","Nei prossimi otto giorni!"
